timepoint,BA.5,BA.5.1,BA.5.1.10,BA.5.2,BA.5.2.1,BA.5.9,BE.1.1,BF.11.3,BF.14,BF.5,BF.7,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3,BN.1.3.1,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.2.3.20,BF.7.19,BF.7.9,BN.1.3.3,BQ.1.1.7,BQ.1.10,BA.5.2.20,BF.11,BA.2,BA.2.12.1,BA.2.3,BA.2.56,BA.2.9,BA.4,BA.4.1.2,BA.2.75.2,BA.2.75.5,BA.4.6,BA.5.1.30,BA.5.1.5,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BA.2.13,BA.4.1,BA.5.1.22,BA.5.1.23,BA.5.5,BE.1,BE.1.4,BF.1,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2.36,BA.5.3,BA.2.75.1,BA.5.1.2,BA.5.2.26,BA.5.2.27,BA.5.2.3,BE.1.1.2,BM.1.1,B.1.617.2,BN.2,AY.43,AY.46.6,BA.1.18,BA.1.20,B.1.1.529,BQ.1.1.23,XBB.2,BA.5.1.3,BL.1,CM.5,BF.12,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,,,0.09,0.11,,,,,,,,,,0.18,,0.05,0.03,0.16,,,,,,,,,simul-1,simulation,Ex16_01_realTimecourse_simul-1,2021-12-29,1468.8652309132863,1293.4674496241723,93.76651172123198,59.9999
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,0.08,,,,,,,,,,0.17,,0.08,0.03,0.03,0.02,,,,,,,,simul-3,simulation,Ex16_01_realTimecourse_simul-3,2022-01-12,1500.4418954619937,1290.6451266375648,96.22445908437281,59.9999
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.05,,0.07,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.02,,0.01,0.03,,,,,,,,,,0.03,,,,,,,,,,,,,simul-5,simulation,Ex16_01_realTimecourse_simul-5,2022-01-26,1498.7020031434972,1202.8353138479306,95.24462428518878,59.9999
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,0.02,,0.1,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.01,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex16_01_realTimecourse_simul-7,2022-02-09,1495.0184596863191,1173.2015970635052,97.95338260375213,59.9999
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,0.02,,0.1,,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.05,0.01,0.01,0.06,,,,,,,,,,,,,,0.02,,0.03,,,,,,,simul-9,simulation,Ex16_01_realTimecourse_simul-9,2022-02-23,1489.6060930341437,1160.7680830142776,96.10406982576998,59.9999
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.33,,,,,,,,,,,,,,,,,,,,,0.02,0.19,0.02,,,,,,,,,,,,,,,,,,,0.05,,,,,,,simul-12,simulation,Ex16_01_realTimecourse_simul-12,2022-03-16,1495.0049827776477,1170.8746104071176,98.10052503093335,59.9999
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,0.02,,0.19,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex16_01_realTimecourse_simul-14,2022-03-30,1495.987091596161,1174.9937330007522,95.54559743169581,59.9999
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.04,0.03,,0.21,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex16_01_realTimecourse_simul-16,2022-04-13,1475.4552051633616,1229.540652614594,93.9036217101963,59.9999
18,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.02,0.01,,0.22,,0.08,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex16_01_realTimecourse_simul-18,2022-04-27,1491.4398889743504,1309.4719911918774,98.00688894090894,59.9999
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.11,0.03,0.01,0.19,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex16_01_realTimecourse_simul-20,2022-05-11,1472.7715279403405,1202.078864210741,96.32143932046951,59.9999
23,,0.07,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.15,,0.03,0.14,0.02,,,,,,,,,,,,,,0.01,,,0.01,0.01,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,simul-23,simulation,Ex16_01_realTimecourse_simul-23,2022-06-01,1496.9683643781561,1111.8973591768329,96.77624318630238,59.9998
