timepoint,BE.1.3,BA.2.19,BM.2.1,XBB.1.29,XBN,XBB.2.5,XBB.1.9,XBB.2.8,BM.5,BF.33,BR.1.2,EQ.1,BN.1,BQ.1.1.3,CB.1,BA.5.6.1,BA.1,BA.5.2.28,AY.119,B.1.1.434,B.1.1.302,EL.1,FL.2.1,XBB.1.24,XBB.1.24.1,FY.3,XBB.2.3.5,XBB.2.3.8,XBB.2.3.11,FL.6,XBB.3.4,XBB.2.3.6,FE.1.2,XBB.1.36,XBB.1.37.1,XBB.1.9.3,EG.2,XBB.1.22.2,XBB.1.19.1,XBB.1.5.40,XBB.1.5.25,EK.4,GA.2,XBB.1.33,XBB.1.7,EU.1.1,XBB.1.5.23,FL.9,EG.1.3,BY.1.1,XBB.1.5.57,XBB.1.9.2,XBB.1.5.12,EG.1.2,XBB.1.5.52,XBB.1.5.19,XBB.1.5,CH.1.1.12,XBB.1.32,CH.1.1.6,BQ.1.1.38,XBB.1.38,BA.2.40,XAK,BA.2.80,XAR,XBB.2.2,XBB.4,BN.1.4.3,BQ.1.1.21,BA.5.2.39,BA.5.6.4,BA.2.10.4,B.1.1.431,BA.2.9.7,BG.5,BF.23,P.1.7,BA.1.1.4,BA.2.67,B.1.177.85,XBB.1.28,FT.1,XBB.1.25,XBB.1.5.68,XBB.1.22,XBB.2.3.9,XBB.2.3.1,EU.1,XBB.1.5.62,FD.4,DY.3,XBB.1.5.16,DV.3,XBB.1.5.14,XBB.1.14,XBB.1.4.1,XBB.1.15,BR.3,BQ.1.16,AY.24,AY.4.1,BA.2.47,AY.11,B.1.595,B.1.1,XBB.1.31,XBB.2.3.4,EG.5,XBB.1.16.5,FL.1.2,XBB.1.5.3,XBB.2.3.3,FZ.1.1,XBB.1.5.59,FL.10,XBF.6,XBB.1.5.63,XBB.1.18,BN.1.2.1,B.1.36.22,BA.1.17.2,BA.1.1.16,P.3,B.1.177.5,GE.1,XBB.1.16.3,XBB.1.16.2,FY.2,XBB.2.3.2,XBB.2.3.7,FK.1,XBB.1.16,XBB.1.34,XBB.1.5.33,XBB.2.3,BA.2.38.1,XBB.1.3,BQ.1.21,BA.5.1.18,BA.2.3.10,BA.2.8,B.1.631,XBB.1.5.69,XBB.1.19,BA.2.28,BS.1.1,FA.2,B.1.1.267,FU.1,XBB.1.16.1,XBB.1.5.35,XBB,BA.2.30,FU.2,A.12,BA.2.10.3,B.1.1.161,BR.5,A.30,BR.2,BA.5.2.41,BQ.1.1.26,BA.2.78,XAH,XBB.2.9,XBB.1.17.1,XBB.2.4,BV.1,BA.1.1.15,BA.1.3,XBB.1.5.60,FD.3,XBB.1.5.21,XBB.1.5.46,DQ.1,B.1.1.407,others,sample_name,tool_name
1,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.61,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,0.02,,0.02,0.01,0.06,0.02,,,,,,,,0.01,,,,,0.01,0.02,0.01,,,0.2,,,0.02,0.03,,,0.02,,,,,,,0.01,0.01,,,,,0.05,0.01,,0.01,,0.06,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,0.01,,,,,,,,0.02,0.02,,0.02,,,,,0.01,,,0.03,,,,,0.01,,,,,,0.01,,,0.01,,0.03,0.01,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.03,,,,,,0.02,,,,,,,,,0.13,,0.01,,,,,,0.01,,,,,,,,,,,,,,0.04,,,,,,0.03,,0.05,0.11,,,0.5,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.04,,,,,,,,0.01,0.04,,,,0.01,,,,,,,,,,0.02,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,0.02,0.15,,,,,,,,,,,,,,,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,0.01,,,,,,,,,,0.51,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,0.04,,,,0.02,,0.47,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-16,vlq_vd04ad36
168,,,0.01,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,0.06,,0.02,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.01,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,0.04,,,,,,,,0.02,,0.06,,,,,0.04,,0.01,,0.01,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,0.01,,,0.01,,0.04,,,,0.03,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,0.01,,,,,,,0.01,,0.07,,,,,,,0.48,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,0.02,,0.01,,0.02,,,,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,0.01,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,0.04,0.03,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.07,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-213,vlq_vd04ad36
