timepoint,A.23.1,AV.1,B.1.1.7,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,P.1,B.1.617.1,C.37,P.3,others,sample_name,tool_name
1,,0.02,,0.25,,,0.13,,0.09,0.13,,,0.35,,0.03,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,0.08,,0.26,,,,0.01,0.05,0.43,0.03,,0.12,,0.02,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,0.06,,0.84,,,,,,,0.03,,0.03,,0.04,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,0.12,,0.47,,,,0.17,,0.07,0.09,,0.05,,0.03,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,0.04,,0.75,0.16,,,,,0.02,,0.01,,,0.02,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,0.03,,,0.01,,0.03,0.06,,0.3,0.16,,0.4,,0.01,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,0.17,,0.55,,,0.13,,,,0.01,,0.14,,0.01,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,0.44,,0.44,,,,,,,,,0.07,0.01,0.04,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,,,0.32,,,,,0.14,0.28,0.09,,0.12,,0.04,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,,,0.41,,,,,,0.06,,,0.5,0.02,0.02,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,0.02,,0.31,,0.01,,,,0.17,0.23,,0.25,,0.03,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,0.01,,0.43,0.02,,,0.04,,,,,0.48,,0.01,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,0.09,,0.59,0.06,,,,,0.02,,,0.06,0.13,0.05,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,0.11,,0.74,0.1,,,,,,,,0.03,,0.03,lcs_vcfc2f02-274,lcs_vcfc2f02
289,,,0.06,0.11,,,,,,0.2,0.01,,0.33,0.25,0.03,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,,,0.82,,,,,,,0.01,,0.13,,0.04,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,0.04,,0.42,,,,,,0.4,,,0.1,,0.03,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,,,0.46,0.1,0.39,,,,,,,,,0.05,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,0.02,,0.72,,,,,,0.24,,,,,0.02,lcs_vcfc2f02-335,lcs_vcfc2f02
350,,0.34,,0.03,,0.12,0.13,,,0.09,0.02,,0.23,,0.03,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,,,0.64,,,,,,,,,0.32,,0.04,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,0.29,,0.47,,,,0.01,,0.01,,,0.19,,0.03,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,0.01,,,,,,0.28,,0.14,0.03,,0.5,0.01,0.02,lcs_vcfc2f02-61,lcs_vcfc2f02
77,0.01,0.05,,0.2,,,0.04,0.59,,,0.06,,0.02,,0.03,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,0.53,,,,,,0.19,,0.13,,,0.1,0.02,0.03,lcs_vcfc2f02-92,lcs_vcfc2f02
