timepoint,A.23.1,AV.1,B.1.1.7,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.525,P.1,B.1.526,C.37,P.3,others,sample_name,tool_name
1,,0.16,,0.42,,,,,0.03,0.22,,0.01,,0.12,,0.04,lcs-1,lcs
12,,0.27,0.14,0.4,,0.03,,0.02,,0.05,,0.02,,0.02,0.04,0.01,lcs-12,lcs
14,,,0.04,0.22,,,0.15,,,0.2,,0.09,,0.27,,0.02,lcs-14,lcs
16,,0.19,0.12,0.47,,,,,,0.08,,0.01,,0.09,0.02,0.02,lcs-16,lcs
18,,0.14,,0.23,0.01,0.15,,0.04,0.05,0.01,,,,0.16,0.2,0.02,lcs-18,lcs
20,,0.09,,0.55,0.03,,,,,,,,,0.3,,0.04,lcs-20,lcs
23,,0.07,,0.68,,,,,0.07,0.06,,0.04,,0.06,,0.03,lcs-23,lcs
25,,0.13,0.12,0.59,,,,,0.09,0.02,,,,0.02,,0.02,lcs-25,lcs
27,,0.04,0.05,0.67,0.01,0.01,,,0.07,,0.07,,,0.05,,0.03,lcs-27,lcs
29,,0.02,0.02,0.33,,0.02,,,0.18,0.07,,0.01,,0.31,0.02,0.02,lcs-29,lcs
3,,0.01,0.17,0.27,,,0.04,,,0.29,0.12,,,0.08,,0.03,lcs-3,lcs
31,,0.21,,0.17,,,,,,,,0.03,,0.56,,0.03,lcs-31,lcs
34,,0.11,0.04,0.5,,,,,0.04,0.03,,0.02,,0.25,,0.02,lcs-34,lcs
36,,,0.07,0.5,,,,,0.09,0.07,,0.04,,0.19,0.01,0.02,lcs-36,lcs
38,,,0.03,0.46,,,,,0.06,0.04,,0.02,,0.36,,0.04,lcs-38,lcs
40,,0.1,0.04,0.38,,,,,0.2,0.06,,0.03,,0.18,,0.02,lcs-40,lcs
42,,,0.04,0.46,,,,,0.11,0.11,,0.02,,0.22,0.01,0.02,lcs-42,lcs
45,,,0.12,0.55,,,0.02,,0.04,0.07,,,,0.16,,0.03,lcs-45,lcs
47,,0.08,,0.31,,,,0.04,0.05,0.14,,0.01,,0.35,,0.03,lcs-47,lcs
49,,0.15,0.01,0.42,,,,,0.13,0.12,,0.01,,0.06,0.08,0.01,lcs-49,lcs
5,,0.03,,0.65,,,,,,0.05,,0.08,,0.14,0.03,0.03,lcs-5,lcs
51,0.01,,0.22,0.26,,,,,0.26,0.02,,,,0.19,,0.03,lcs-51,lcs
7,,0.23,,0.19,,,0.07,,,0.06,,0.03,,0.38,0.01,0.03,lcs-7,lcs
9,,0.05,0.01,0.69,0.09,,,0.01,,,0.03,,0.03,0.06,,0.03,lcs-9,lcs
