timepoint,Q.8,B.1.1.431,Q.6,AY.71,Q.7,AY.39.2,Q.1,Q.2,B.1.1.7,Q.4,AY.74,AY.46.4,B.1.1.427,B.1.350,AY.23.2,AY.24,AY.26,AY.106,AY.45,AY.66,AY.129,AY.47,B.1.617.2,AY.46.5,AY.6,AY.4.1,AY.57,AY.23.1,AY.88,B.1.415.1,P.1.16,AY.11,P.1.12,P.1,B.1.544,B.1.1.86,B.1.120,B.1.1.286,XBB.1.5.22,B.1.351,BA.5.2.32,B.1.351.3,B.1.351.2,AY.55,AY.90,AY.80,AY.4,BA.1.1.1,B.1.214.1,B.1.1.413,DB.3,B.28,B.1.1.193,FT.1,B.1.36,P.1.1,B.1.1.219,B.1.1.500,B.1.110.3,B.1.621,B.1.474,B.1.600,B.1.428,B.1.243,B.1.177.42,B.53,D.4,B.1.131,AY.34.1.1,B.1.164,FY.1,AY.58,B.1.263,BQ.1.1.26,B.1.1.271,BN.1.4,others,sample_name,tool_name
1,0.43,,0.02,,0.02,,0.09,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-1,vlq_vd04ad36
107,,0.01,0.02,,,,0.12,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.45,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,0.01,,,,,,,,,,,,,,,,,,,,0.03,,0.02,0.02,0.01,,,,,,,,,,0.34,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,0.06,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-137,vlq_vd04ad36
153,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-153,vlq_vd04ad36
16,0.01,0.01,0.02,,0.02,,0.44,0.01,0.01,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-168,vlq_vd04ad36
183,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,0.02,,,,0.01,,0.26,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.02,,,,0.33,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.14,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,,,0.16,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,0.06,0.38,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,0.01,0.56,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.15,vlq_vd04ad36-274,vlq_vd04ad36
