timepoint,BA.2.3.20,BA.4.6,BA.5.1,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.27,BA.5.2.6,BA.5.9,BF.11,BF.14,BF.5,BF.7,BF.7.6,BN.1,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.5,CH.1.1,XBB.1,XBB.2,B.1.617.2,BA.1,BA.1.1,BA.1.1.1,BA.1.17,BA.1.17.2,BA.2,BA.2.3,BA.2.9,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5,BA.5.1.22,BA.5.5,BE.1,BE.1.1,BE.1.4,BF.1,BF.12,AY.43,AY.46.6,BA.1.18,BA.1.20,BA.2.75.1,BA.5.1.23,BE.1.1.2,BN.2,BA.5.1.2,BA.5.2.26,BA.5.2.3,BM.1.1,BA.4.1.2,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BN.1.2,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,XBB,XBF,B.1.1.529,BA.1.15,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.2.58,BM.1.1.3,BR.3,BQ.1.1.23,BF.7.19,BF.7.9,BQ.1.1.7,BQ.1.10,BA.5.1.3,BL.1,CM.5,BA.5.3,BA.2.36,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.19,0.16,,0.09,0.11,0.03,,,,,,,,,,,,,,,0.05,0.03,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex21_03_realTimecourse_simul-1,2021-12-29,1502.8853292311808,4605.950273185987,38.9593017423001,59.9999
3,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.22,0.22,,,0.08,0.15,,,,,,,,,,,,,,,0.08,0.03,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex21_03_realTimecourse_simul-3,2022-01-12,1507.805036283985,4487.868087091913,39.15660636056583,60
5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,0.17,0.02,0.01,0.03,0.5,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex21_03_realTimecourse_simul-5,2022-01-26,1499.5021904156774,3846.637910064227,49.26930408320235,59.9999
7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.02,0.03,0.52,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex21_03_realTimecourse_simul-7,2022-02-09,1505.5201484800857,4792.764956447479,34.31428284787479,59.9998
9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.05,0.01,0.06,0.29,0.02,0.1,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex21_03_realTimecourse_simul-9,2022-02-23,1505.3030799585326,3679.0444005698005,49.04859044243052,59.9996
12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.19,0.02,,,0.4,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex21_03_realTimecourse_simul-12,2022-03-16,1492.867672139919,5545.805467941898,40.09296726080996,60
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,,,0.64,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex21_03_realTimecourse_simul-14,2022-03-30,1506.4673109721432,5314.284761330221,41.771728589104775,59.9999
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,0.67,0.03,0.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex21_03_realTimecourse_simul-16,2022-04-13,1506.0108015918136,4083.236111801904,30.528709494030696,60
18,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.64,0.01,0.22,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,simul-18,simulation,Ex21_03_realTimecourse_simul-18,2022-04-27,1500.221783767515,5715.731146774565,40.81864695849915,59.9999
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.03,0.19,0.11,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex21_03_realTimecourse_simul-20,2022-05-11,1503.2575661304886,3747.2173249354637,37.95940206668227,59.9999
23,,,0.07,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,0.14,0.15,0.03,0.02,,,0.01,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,simul-23,simulation,Ex21_03_realTimecourse_simul-23,2022-06-01,1499.2075042637862,4225.380570046067,36.48463364879778,59.9999
25,,,0.17,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.06,0.04,0.05,0.04,0.04,0.03,0.03,,0.02,0.13,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,simul-25,simulation,Ex21_03_realTimecourse_simul-25,2022-06-15,1440.5364344714578,3660.9425183326,38.838912483697285,59.9999
27,,,0.23,,0.06,0.08,,,,,,0.06,,,,,,,,,,,,,,,,,,,,0.03,,,0.06,0.03,0.02,0.02,0.11,0.01,0.02,0.04,0.13,0.01,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-27,simulation,Ex21_03_realTimecourse_simul-27,2022-06-29,1498.5798414874762,5525.188234966135,36.250543423736744,60
29,,,0.17,,0.07,0.08,,,,,,0.08,0.01,,,,,,,,,,,,,,,,,,,0.01,,,0.01,0.03,0.02,0.02,0.28,0.01,0.01,0.01,0.09,0.01,0.04,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,simul-29,simulation,Ex21_03_realTimecourse_simul-29,2022-07-13,1494.6017456442498,5030.074252217042,39.78864996823061,60
31,,,0.22,,0.13,0.13,,,,,,0.14,0.02,0.02,,,,,,0.02,,,,,,,,0.02,,,,0.06,,0.01,,,,0.01,0.03,0.01,,0.02,0.1,,,,,,,,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,simul-31,simulation,Ex21_03_realTimecourse_simul-31,2022-07-27,1505.9574624619604,4511.601101281772,39.07969100090292,59.9999
34,,,0.2,0.03,0.19,0.14,0.01,,,,,0.12,0.01,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.07,0.02,,0.02,0.08,,,,,,,,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex21_03_realTimecourse_simul-34,2022-08-17,1491.953650135438,3576.439465325697,44.61759689663244,60
36,,0.01,0.19,,0.26,0.17,0.02,,,,,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,0.02,,,0.06,,,,,,,,,,0.02,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex21_03_realTimecourse_simul-36,2022-08-31,1499.0538741932248,3221.004499182496,37.407617964752696,59.9999
38,,0.02,0.18,,0.26,0.1,0.02,0.01,,0.03,,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,0.05,0.01,,,,,,,0.02,0.01,0.01,,0.01,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex21_03_realTimecourse_simul-38,2022-09-14,1494.245928502157,4108.977534043469,37.99618767347758,60
40,0.07,0.01,0.17,0.01,0.21,0.1,0.02,,0.01,0.02,,0.03,0.03,0.04,,0.04,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.07,0.02,0.01,0.02,0.01,,,,,,,,,,,,simul-40,simulation,Ex21_03_realTimecourse_simul-40,2022-09-28,1509.0632043607666,4633.748863568045,42.480687556432464,60
42,0.14,0.02,0.09,,0.2,0.09,,0.02,0.02,0.03,,0.06,0.02,0.03,,0.08,0.02,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.03,0.01,,,,,,0.01,0.02,0.01,,,,simul-42,simulation,Ex21_03_realTimecourse_simul-42,2022-10-12,1503.7896197705916,4352.684895832049,45.51717219008126,60
45,0.01,0.01,0.11,0.01,0.14,0.08,0.03,0.02,0.02,0.04,0.01,0.09,0.03,0.1,0.02,0.02,0.03,0.02,0.01,0.03,0.05,0.02,0.02,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex21_03_realTimecourse_simul-45,2022-11-02,1504.2165000167208,4079.73108794306,38.815503461191184,60
