timepoint,XBB.2.5,XBB.1.9,XBB.1.15,XBB,BA.5.3,B.1.1.44,B.1.400,EL.1,FL.2.1,XBB.1.24.1,XBB.2.3.5,XBB.2.3.8,FZ.2,FL.6,XBB.1.28,XBB.3.4,XBB.2.3.6,XBB.1.36,XBB.1.16.1,FT.1,XBB.1.25,XBB.1.9.3,EG.2,EK.4,EG.4,XBB.1.5.23,FL.9,XBB.1.5.57,XBB.1.5.12,XBB.1.9.5,XBB.1.5.62,XBB.1.5.16,XBB.1.38,XBB.1.9.4,XBB.1.29,XBB.2.3.11,XBB.1.16.2,XBB.2.3.2,XBB.2.3.3,XBB.1.5.68,XBB.1.5.59,XBB.1.5.40,XBB.1.22,XBB.1.5.43,EU.1.1,EU.1,EP.2,XBB.1.5,XBB.1.35,BQ.1.1.28,FY.4,XBB.1.16,XBB.2.3,BA.5,XBB.9,BF.13,AY.39.2,FL.10,XBB.1.9.1,DV.3,XBB.1.3,XBB.1.5.31,FZ.1.1,FG.2,XBB.1.5.8,B.1.1.525,XBB.1.5.32,AY.44,XBB.1.5.18,B.1.1.209,XBB.2.3.7,FS.1,BA.2.75.6,XBB.1.5.34,B.1.617.2,XBB.1.9.2,AV.1,FK.1.1,B.1.36.28,CM.12,BF.17,B.1.1.351,BA.1.2,FK.1,BQ.1.1.36,BA.2,B.1.1.67,B.1.1.272,others,sample_name,tool_name
1,,0.34,,,,,,,,,0.01,,,,,,,,,,,0.15,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-1,vlq_vd04ad36
107,0.02,,,,,,,0.01,0.01,,,,,,0.01,,,,,0.01,,,,0.01,0.02,,0.01,,0.01,,0.02,0.03,0.02,,,,,,,,0.01,,0.03,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.02,0.04,,,,,,,,,,,,,0.61,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,0.01,,,,,,,0.01,,,,,0.01,,,,0.01,,,,,,,,,,,0.01,,,,0.02,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-122,vlq_vd04ad36
137,,,0.01,,,,,,,,,,,0.03,0.01,0.02,,,,,,,,,,,,,,,0.01,,0.01,,0.02,,,,,,,0.01,,0.09,,,,,,,,,,,,,,,,,,0.04,,0.2,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,,,0.06,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,0.03,0.01,0.37,vlq_vd04ad36-153,vlq_vd04ad36
16,,0.3,,,,,,,,,0.01,,,,,0.01,,,,,0.01,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,0.41,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,,0.01,,0.01,,,0.02,,,,,0.01,,,0.01,,0.01,,,,,,,,,,,,,,,0.02,,,0.22,,0.01,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.03,,,,,,,,,,0.62,vlq_vd04ad36-168,vlq_vd04ad36
183,,,0.01,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,0.05,,0.07,,0.02,,,,,,0.03,,0.02,0.03,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-183,vlq_vd04ad36
198,0.01,,,,0.01,,,0.01,,,,,,,0.01,0.02,,,,,,,,0.01,,,,0.02,,,,,,,0.02,,0.01,,,,,,,0.04,,,,,,,,,0.32,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.09,0.01,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.32,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.6,,,,,,,0.03,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.52,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,0.01,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,0.02,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.05,,,,,,,,,,,,,0.06,0.52,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,,,,0.13,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,0.21,vlq_vd04ad36-305,vlq_vd04ad36
31,,0.52,,0.02,,,0.02,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.71,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.06,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-46,vlq_vd04ad36
61,,0.59,,0.02,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.31,vlq_vd04ad36-61,vlq_vd04ad36
77,,0.18,,0.06,,,,,,,,,,,0.01,0.01,,,,,0.01,,,,0.05,,0.01,,,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq_vd04ad36-77,vlq_vd04ad36
92,,0.07,,0.03,,,,,,,,,,,,,,,,,0.01,0.28,,,0.08,,,,,,0.01,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-92,vlq_vd04ad36
