timepoint,BA.2,XBB,XBB.1,XBB.1.16,XBB.1.9,XBB.1.9.2,others,sample_name,tool_name
1,,,,,0.97,,0.03,vaquero_v93e7db3-1,vaquero_v93e7db3
16,,,,,0.97,,0.03,vaquero_v93e7db3-16,vaquero_v93e7db3
31,,,0.01,,0.96,,0.03,vaquero_v93e7db3-31,vaquero_v93e7db3
46,,,,,0.97,,0.03,vaquero_v93e7db3-46,vaquero_v93e7db3
61,,,,,0.97,,0.03,vaquero_v93e7db3-61,vaquero_v93e7db3
77,,,0.01,,0.96,,0.03,vaquero_v93e7db3-77,vaquero_v93e7db3
92,,0.01,0.13,,0.74,0.11,0.01,vaquero_v93e7db3-92,vaquero_v93e7db3
137,,,0.97,,,,0.03,vaquero_v93e7db3-137,vaquero_v93e7db3
153,,,0.97,,,,0.03,vaquero_v93e7db3-153,vaquero_v93e7db3
168,,,0.97,,,,0.03,vaquero_v93e7db3-168,vaquero_v93e7db3
183,,,,,,0.97,0.03,vaquero_v93e7db3-183,vaquero_v93e7db3
198,,,,,,0.96,0.04,vaquero_v93e7db3-198,vaquero_v93e7db3
274,0.97,,,,,,0.03,vaquero_v93e7db3-274,vaquero_v93e7db3
289,,0.17,0.17,,0.17,0.49,0.0,vaquero_v93e7db3-289,vaquero_v93e7db3
305,,,0.24,0.51,,0.24,0.0,vaquero_v93e7db3-305,vaquero_v93e7db3
320,,,0.41,0.59,,,0.0,vaquero_v93e7db3-320,vaquero_v93e7db3
350,,,,0.97,,,0.03,vaquero_v93e7db3-350,vaquero_v93e7db3
366,,0.25,0.25,0.51,,,0.0,vaquero_v93e7db3-366,vaquero_v93e7db3
