timepoint,XBB.1.5.43,B,XBB.1.16.3,XBB.2.3.10,XBB.1.16,XBB.1.22,XBB.2.3,B.20,XBB.2,XBB.1,XBB,B.11,XBB.1.9,XBB.1.16.1,XBB.2.3.3,B.3,XBB.1.5.2,XBB.1.5,XBB.1.38,XBB.1.13,XBB.1.9.5,B.1.1.529,XBB.2.4,XBB.2.3.11,XBB.2.3.6,XBB.2.3.7,XBB.1.16.6,others,sample_name,tool_name
1,,,,,,,,,,,,,0.48,,,,,,,,0.48,0.01,,,,,,0.03,freyja_v1.4.3-1,freyja_v1.4.3
16,,0.02,,,,,,,,,,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
31,,0.02,,,,0.97,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,,,,,,,,,0.49,,,,,,,,0.49,,,,,,,0.03,freyja_v1.4.3-46,freyja_v1.4.3
61,,0.02,,,,,,,,,,0.01,0.97,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,,,,,,,,,0.02,0.96,,,,,,,0.01,,,,,,,,0.01,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,,0.17,,,,,,,0.34,,,,,,0.12,,0.34,,,,,,,0.03,freyja_v1.4.3-92,freyja_v1.4.3
107,0.78,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-107,freyja_v1.4.3
122,0.32,0.03,,,,,,,,,,,,,,,0.32,0.32,,,,,,,,,,0.01,freyja_v1.4.3-122,freyja_v1.4.3
137,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,,,,,,0.32,0.32,0.32,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-153,freyja_v1.4.3
168,0.97,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-168,freyja_v1.4.3
183,,,,,,,,,,,,,,,0.04,,,,,,,,0.93,,,,,0.03,freyja_v1.4.3-183,freyja_v1.4.3
198,,0.02,,,,,,,,,0.01,,,,0.47,,,,,,,,0.48,,,,,0.02,freyja_v1.4.3-198,freyja_v1.4.3
213,0.05,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,0.03,freyja_v1.4.3-213,freyja_v1.4.3
229,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-229,freyja_v1.4.3
244,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,0.03,freyja_v1.4.3-244,freyja_v1.4.3
259,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,0.02,freyja_v1.4.3-259,freyja_v1.4.3
274,,0.01,,,,,,,,,,,,,0.94,0.01,,,,,,,,0.02,,,,0.02,freyja_v1.4.3-274,freyja_v1.4.3
289,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.1,0.02,freyja_v1.4.3-289,freyja_v1.4.3
305,,,0.69,,,0.01,,,,,,,,,0.13,,,,,,,,,0.01,0.13,,,0.03,freyja_v1.4.3-305,freyja_v1.4.3
320,,,0.95,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-320,freyja_v1.4.3
335,,,0.96,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-335,freyja_v1.4.3
350,,0.02,0.96,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-350,freyja_v1.4.3
366,,0.02,,,,,,,,,,,,0.97,,,,,,,,,,,,,,0.01,freyja_v1.4.3-366,freyja_v1.4.3
