timepoint,B.1.1.318,B.1.1.7,B.1.351,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.623,BA.1,CH.1.1,P.1,P.2,P.3,XD,others,sample_name,tool_name
1,,0.97,,,,,,,,,,,,0.03,0.01,lollipop_v0.3.0-1,lollipop_v0.3.0
16,,0.98,,,,,,,,,,,,0.02,0.0,lollipop_v0.3.0-16,lollipop_v0.3.0
31,,0.97,,,,,,,,,,,,0.03,0.0,lollipop_v0.3.0-31,lollipop_v0.3.0
46,,0.96,,,,,,,,,,,,0.04,0.0,lollipop_v0.3.0-46,lollipop_v0.3.0
61,,0.96,,,,,,,,,,,,0.02,0.01,lollipop_v0.3.0-61,lollipop_v0.3.0
77,,0.95,,,,,,,,,,,,0.04,0.01,lollipop_v0.3.0-77,lollipop_v0.3.0
92,,0.83,0.15,,,,,,,,,,,,0.02,lollipop_v0.3.0-92,lollipop_v0.3.0
107,,0.2,0.72,,,,,,0.01,0.01,,0.03,,0.02,0.01,lollipop_v0.3.0-107,lollipop_v0.3.0
122,,,0.96,,,,,,,,,,,0.02,0.02,lollipop_v0.3.0-122,lollipop_v0.3.0
137,,,0.96,,,,,,,,,0.01,,0.02,0.01,lollipop_v0.3.0-137,lollipop_v0.3.0
153,,,0.95,,,,,,,,,0.02,,0.02,0.01,lollipop_v0.3.0-153,lollipop_v0.3.0
168,,,0.94,,,,,,,0.05,0.01,,,,0.0,lollipop_v0.3.0-168,lollipop_v0.3.0
183,,,0.9,,,,,,,,0.07,0.03,,,0.0,lollipop_v0.3.0-183,lollipop_v0.3.0
198,,,0.47,,,,,,,,0.48,0.02,0.01,0.02,0.01,lollipop_v0.3.0-198,lollipop_v0.3.0
213,,,0.04,,,,,,,,0.92,,0.01,0.02,0.01,lollipop_v0.3.0-213,lollipop_v0.3.0
229,,,,,,,,,,,0.96,,0.02,0.02,0.0,lollipop_v0.3.0-229,lollipop_v0.3.0
244,,,,,,,,,,,0.97,,,0.02,0.01,lollipop_v0.3.0-244,lollipop_v0.3.0
259,,,,,,,,,,,0.96,,,0.03,0.01,lollipop_v0.3.0-259,lollipop_v0.3.0
274,,,,,,,,,,,0.97,,,0.02,0.01,lollipop_v0.3.0-274,lollipop_v0.3.0
289,,,,,0.04,,,,0.01,,0.89,,,0.02,0.04,lollipop_v0.3.0-289,lollipop_v0.3.0
305,,,,0.02,0.67,0.02,,,,0.01,0.23,,,,0.05,lollipop_v0.3.0-305,lollipop_v0.3.0
320,0.02,,0.01,,0.89,0.02,,,,,0.02,,,,0.05,lollipop_v0.3.0-320,lollipop_v0.3.0
335,,,,,0.92,0.03,,0.01,,0.01,,,,,0.02,lollipop_v0.3.0-335,lollipop_v0.3.0
350,,,,,0.94,0.02,,,,,,,,0.02,0.02,lollipop_v0.3.0-350,lollipop_v0.3.0
366,,,,,0.92,,0.03,,,,,,,0.02,0.03,lollipop_v0.3.0-366,lollipop_v0.3.0
