timepoint,B.1.1.51,B.1.1.95,B.1.351,B.1.1.431,Q.6,Q.7,AY.59,B.1.1.46,B.1.1.74,B.1.411,B.1.351.2,B.1.1.395,XBB.2.2,BM.1.1.1,B.1.177.25,B.1.626,B.1.151,AY.33.2,AY.46.5,AY.57,A.29,B.1.1.163,B.1.439,B.1.609,B.1.1.61,P.3,B.1.596,B.1.221.4,B.1.177.5,B.1.2,Q.4,XBB.2.3.5,XBC.1.1,B.1.544,XBC.1.2.1,B.1.332,B.1.618,B.1.621,AY.124.1,P.1.11,B.1.147,P.1.16,B.1.466.1,C.17,B.1.1.349,P.1,B.1.1,B.1.160.30,P.2,B.1.160.11,B.1.1.325,B.1.1.327,B.1.491,Q.8,B.1.438.1,AY.24,AY.48,Q.1,B.1.596.1,AY.11,B.1.1.44,P.6,B.1.1.7,B.1.399,B.1.280,AY.2,AY.74,B.1.157,B.1.617.2,BA.2.8,AY.98.1,AY.56,A.21,P.1.12,B.1.1.351,B.1.177.83,B.1.1.452,B.1.1.410,B.1.1.411,B.1.36.22,B.1.1.482,B.1.1.316,EG.2,B.1.240.1,BF.23,B.1.375,B.1.1.500,B.1.1.364,P.1.14,B.1.22.1,B.1.342,B.1.582,P.1.2,P.1.12.1,P.1.7.1,B.1.1.59,B.1.208,P.1.17,P.1.17.1,B.49,P.1.10,B.1.588.1,B.1.258.19,B.1.351.3,B.1.177.74,B.1.177.61,AY.4.1,AY.119.2,AY.35,AY.122.1,AY.73,B.1.1.434,B.1.416,B.1.466,B.1.520,B.1.1.263,B.1.488,AY.55,AY.66,AY.129,AY.9.2.2,B.1.428.2,AY.58,AY.128,AY.62,B.1.549,AY.40,others,sample_name,tool_name
1,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,0.01,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-1,vlq_vd04ad36
107,,,0.16,,,0.01,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,0.01,0.01,0.01,,0.01,0.01,,,,,,,,,,,0.58,vlq_vd04ad36-107,vlq_vd04ad36
122,,,0.82,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-122,vlq_vd04ad36
137,,,0.38,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,0.54,vlq_vd04ad36-137,vlq_vd04ad36
153,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,0.63,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-16,vlq_vd04ad36
168,0.03,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-168,vlq_vd04ad36
183,,,0.2,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,0.01,,,,,,0.01,,,,,0.01,,,,,,,0.01,,0.01,,,0.01,,,,,,,,,,0.01,0.02,,,,0.01,0.02,,,,,0.01,0.01,,,,,0.17,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq_vd04ad36-183,vlq_vd04ad36
198,,,0.21,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.24,,,,0.22,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-198,vlq_vd04ad36
213,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.09,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,0.01,,,,,0.01,,,,0.03,0.05,,,,,0.03,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.28,,,,0.28,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.02,,0.05,0.01,0.01,0.02,,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.16,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.13,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,,,,,,,,0.01,,0.01,,0.02,0.01,0.01,,,0.01,0.02,,,,,,,,,0.01,,,0.01,,,,,,0.09,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.08,0.02,,,,,,,,,,,,,,,,,,0.57,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,0.02,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,0.03,,,,,,,,,,,,,0.03,0.01,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.01,,,,,0.01,,0.03,,0.02,,,,,,,,0.19,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.01,,,,,,,,0.52,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.52,0.02,,0.02,,0.01,0.03,,,,0.33,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,0.01,,,,,,,,,0.01,,,,0.02,,,0.16,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.04,,,,,,,,,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,0.01,,0.08,0.34,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,0.01,,,,,,,,,,,0.06,,,,0.01,0.01,,,,,,,,,,,,,,,0.03,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.27,,,,,,,,,,0.51,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.02,,,,,,,,,,,,,,0.59,,,,,0.02,,,,,,,,,,0.04,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,vlq_vd04ad36-77,vlq_vd04ad36
92,,,0.11,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-92,vlq_vd04ad36
