timepoint,BA.2.87,BA.2.12.1,BA.2.11,BA.2.23,BA.5.1.3,BA.5.1,BE.1,BA.4,BA.2.36,BF.4,BA.5.2.1,B.1,BA.5.2,BA.2,BA.5.3,BE.1.1,BF.14,BA.5,BF.7,BA.5.1.23,BF.12,BA.2.3.20,BN.1,BA.2.75.5,BM.1.1.3,BA.5.9,CR.1,BF.30,BL.1,BF.3,BN.1.3,BF.32,BA.5.2.54,BF.11,BA.5.2.57,BA.5.11,BF.1,BA.5.5,BA.1.1,BA.2.16,BA.1,BA.1.1.1,BA.1.17.2,BA.2.56,BA.2.3.10,B.1.76,BA.1.18,BA.4.6,BM.1,BA.5.2.52,BA.2.75.1,BF.7.1,BA.5.2.20,BA.5.2.6,BF.2,BA.5.2.26,BY.1.1,BQ.1.1,BQ.1,XBB.1,BQ.1.3.2,FB.1,BF.7.6,BF.7.4,BQ.1.31,BQ.1.1.46,CB.1,BA.2.9,XAA,B.1.617.2,BA.1.17,AY.43,AY.106,BA.2.3.21,BN.1.3.1,BN.1.3.3,XBB.2,XBB,BN.1.2,BN.1.9,BQ.1.22,XBB.4,CT.1,XBU,XAJ,BQ.1.1.44,XAS,BA.4.1.2,BA.2.12,BA.4.1,BE.1.4,AY.79,BF.39,BF.6,BF.5,BA.5.2.3,BA.4.8,BA.5.2.2,BE.1.1.2,BA.5.1.28,XZ,BA.2.75.6,XM,BA.2.75.2,BA.2.37,BA.5.2.58,BE.1.2,ED.2,CH.1.1,BQ.1.10,BF.7.19,XBF.5,BQ.1.1.3,BF.11.3,BA.2.3,BA.2.3.6,BQ.1.1.5,XBS,others,sample_name,tool_name
1,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.2,,0.11,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,0.18,0.07,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-1,freyja_v1.5.3
3,,,0.11,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,0.23,,0.07,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.17,0.01,0.08,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-3,freyja_v1.5.3
5,0.47,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.1,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.03,0.01,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-5,freyja_v1.5.3
7,0.51,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.07,0.02,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-7,freyja_v1.5.3
9,,,,0.04,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.28,0.07,0.07,0.06,0.04,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-9,freyja_v1.5.3
12,,,,0.1,,,,,,,,0.06,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-12,freyja_v1.5.3
14,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-14,freyja_v1.5.3
16,0.63,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-16,freyja_v1.5.3
18,0.6,,,0.12,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-18,freyja_v1.5.3
20,,0.11,,0.06,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.03,,,0.02,freyja_v1.5.3-20,freyja_v1.5.3
