timepoint,B.1.617.2,BA.1,BA.2,BA.5,BA.5.3,BE.1,BQ.1,others,sample_name,tool_name
1,,0.73,,,,,,0.27,vaquero_v93e7db3-1,vaquero_v93e7db3
3,0.26,0.58,0.14,,,,,0.02,vaquero_v93e7db3-3,vaquero_v93e7db3
7,,,0.83,,,,,0.17,vaquero_v93e7db3-7,vaquero_v93e7db3
9,,0.57,0.38,,,,,0.05,vaquero_v93e7db3-9,vaquero_v93e7db3
16,,,0.96,,,,,0.04,vaquero_v93e7db3-16,vaquero_v93e7db3
27,,,,,,0.98,,0.02,vaquero_v93e7db3-27,vaquero_v93e7db3
31,,,0.1,0.73,,0.17,,0.0,vaquero_v93e7db3-31,vaquero_v93e7db3
34,,,,0.98,,,,0.02,vaquero_v93e7db3-34,vaquero_v93e7db3
49,,,,0.31,0.26,0.39,,0.03,vaquero_v93e7db3-49,vaquero_v93e7db3
51,,,,,,,0.9,0.1,vaquero_v93e7db3-51,vaquero_v93e7db3
