timepoint,B.1.1.161,B.1.177.89,B.4.7,B.47,A,B.4,B.42,B.10,B.11,B.57,B.46,B.6,B.45,B.5,B.19,B.23,B.26,B.55,B.27,B.1.14,B.51,B.12,A.1,B.53,A.5,B.4.5,B.6.6,B.4.6,B.3.1,B.3,A.21,A.11,A.23,B.1.623,B.1.1.98,A.25,A.4,A.26,A.3,B.1.1.374,A.23.1,B,B.1.1.529,XM,XJ,XAD,XZ,XAP,XAH,B.1.617.2,FL.1.3,FL.1,FW.1,A.6,B.4.4,B.43,B.28,B.20,B.61,B.60,B.40,B.18,B.29,B.41,A.18,B.1.258.12,A.24,BE.3,BA.5.3.1,BE.10,XBE,BA.5,BA.5.5.3,BA.5.1.5,BA.5.2.40,BA.5.2.8,BA.5.2.4,BF.17,BA.5.2.2,BA.5.2.26,BA.5.2,XBD,BZ.2,DB.1,BA.5.2.46,B.31,A.12,A.19,A.2.3,A.2.2,A.7,A.2,XAK,XD,BA.3.1,BA.3,DL.1,BA.1.1.14,BA.1.1.11,BA.1.1.13,BA.1.1,BA.1.1.7,BA.1.1.1,BA.1.1.8,BA.1.1.16,BA.1.1.9,BA.1.1.2,BC.1,BC.2,BA.1.1.17,BA.1.1.5,XP,XS,BA.1.1.18,XAE,BF.14,BE.1.4.4,BE.1.4.1,BE.1.4,BQ.1.5,BE.1,XBP,BE.4,XBS,XBR,XAU,BA.2.11,BA.2.23,BA.2.77,XN,BA.2.23.1,XBQ,BF.11.3,BA.5.9,XAL,XG,XAA,XW,XQ,XR,XAF,XAB,XAG,XAM,XY,XE,XV,BA.4.1.2,XU,BQ.1.1.34,XAQ,B.1.620,BA.1.1.3,BA.1.15.1,BA.1.15.3,BA.1.8,BA.1.20,BA.1.17.2,BA.1.17.1,BA.1.14.2,BA.1.14.1,BA.1.3,BA.1.18,BA.1.17,BA.1.16,BA.1.13,BA.1.14,BA.1.9,BA.1.19,BA.1.5,BA.1.6,BA.1.12,BA.1,BA.1.23,BA.1.13.1,BA.1.1.10,BA.1.1.15,BA.1.1.12,BA.1.1.6,BA.1.15,BA.1.21.1,BA.1.21,BA.1.4,BA.1.7,BD.1,BA.1.16.1,XF,BA.1.15.2,XCA,FB.1,FB.2,XBK.1,XBK,BA.1.1.4,AY.57,AY.48,B.1.627,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,,0.01,0.01,,,,,,0.01,,,,0.28,freyja-1,freyja
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,0.06,0.06,,0.22,freyja-3,freyja
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.17,0.17,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,freyja-5,freyja
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja-7,freyja
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,freyja-9,freyja
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.17,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,freyja-12,freyja
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja-14,freyja
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,0.02,,,0.02,0.02,,,0.02,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,freyja-16,freyja
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,freyja-18,freyja
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja-20,freyja
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,freyja-23,freyja
