timepoint,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17.2,BA.1.18,BA.1.20,BA.2,BA.2.3.20,BA.5,BA.5.1,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.9,BF.11,BF.14,BF.7,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.2.12.1,BA.2.36,BA.2.56,BA.2.9,BA.4,BA.5.1.22,BA.5.3,BE.1,BE.1.1,BE.1.4,BA.2.75.1,BA.4.6,BA.5.1.2,BA.5.1.23,BA.5.2.26,BA.5.2.27,BA.5.2.3,BE.1.1.2,BF.5,BM.1.1,BA.2.13,BA.4.1,BA.5.5,BF.1,BA.2.3,BA.4.1.2,BA.1.1.1,BA.1.17,BF.12,B.1.1.529,BA.1.15,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BR.3,CM.5,BA.5.1.5,BQ.1.5,XBB.2,BQ.1.1.23,XBF,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,XBB,BN.2,BF.7.19,BQ.1.1.7,BQ.1.10,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.05,0.03,0.18,0.19,0.16,0.11,0.16,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex22_03_realTimecourse_simul-1,2021-12-29,1475.6484968063405,13135.207091201579,4.65839547871451,59.9999
3,0.08,0.03,0.17,0.22,0.22,0.08,0.03,0.02,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex22_03_realTimecourse_simul-3,2022-01-12,1490.3224091228305,9045.529715427128,8.410527371835602,60
5,,,0.03,0.11,0.17,0.03,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,0.05,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex22_03_realTimecourse_simul-5,2022-01-26,1503.6935424539345,6680.330326709078,12.955221884091896,60
7,,,,0.06,0.23,0.03,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex22_03_realTimecourse_simul-7,2022-02-09,1498.4628632578672,13151.97935614889,3.581580443433769,59.9993
9,,,,0.09,0.33,0.06,0.02,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.02,,0.05,0.01,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex22_03_realTimecourse_simul-9,2022-02-23,1487.9844831622245,6390.754361149777,9.487342407116344,59.9993
12,,,,0.02,0.19,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex22_03_realTimecourse_simul-12,2022-03-16,1485.50740728355,6927.883751949075,12.002140253486273,59.9992
14,,,,,0.14,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex22_03_realTimecourse_simul-14,2022-03-30,1448.200782530181,10778.967061786845,3.5548272748553655,59.9998
16,,,,,0.04,,,,0.67,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.21,,,,,,,,,,,,,,,,,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex22_03_realTimecourse_simul-16,2022-04-13,1471.869009798348,13348.351708076814,6.604688492793365,60
18,,,,,0.01,,,,0.64,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,0.22,,,0.01,,,,,,,,,,,,,,,,,,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex22_03_realTimecourse_simul-18,2022-04-27,1499.6550178911814,8272.712263925157,10.627696217770792,60
20,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,0.11,,0.01,0.19,0.03,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex22_03_realTimecourse_simul-20,2022-05-11,1501.3531418252348,13859.095652541495,6.323780222720128,60
23,,,,,,,,,0.48,,,0.07,,0.03,,,,,,,,,,,,,,,,,0.15,0.01,0.03,0.14,0.02,0.01,0.02,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-23,simulation,Ex22_03_realTimecourse_simul-23,2022-06-01,1495.4997157475839,10290.663036460584,8.132963247834665,60
25,,,,,,,,,0.2,,0.03,0.17,0.05,0.05,,,,,,,,,,,,,,,,,0.04,,0.05,0.06,0.04,0.03,0.02,0.02,0.13,0.02,,,,,,,,,,,,0.04,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-25,simulation,Ex22_03_realTimecourse_simul-25,2022-06-15,1493.4655720161857,7252.661775886552,8.310202989666589,59.9999
27,,,,,,,,,0.03,,0.11,0.23,0.06,0.08,,,,0.06,,,,,,,,,,,,,0.06,,0.03,,0.02,0.01,,0.04,0.13,0.01,,,,,,,,,,,,0.02,0.02,0.03,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-27,simulation,Ex22_03_realTimecourse_simul-27,2022-06-29,1466.101394508912,11734.625489364635,6.226799986623416,60
