timepoint,XBM,B.1.1.529,BF.17,BA.4.8,BF.24,BW.1.2,BW.1.1,BA.5.1.32,BW.1.1.1,BW.1.1.2,CL.1,BW.1,BA.5.6.4,CU.1,BA.5.6.3,BA.5.6.2,BA.5.1.20,BA.5.1.37,BA.5.1.27,BA.5.1.7,BK.1,BA.5.1.29,BA.5.1.26,BA.5.1.8,BA.5.3.5,BA.5.1.1,BA.5.1.19,BA.5.1.10,BA.5.1.6,BA.5.1.15,BA.5.1.28,BA.5.1.16,DH.1,BA.5.7,BA.5.8,BA.5.5.2,BA.5.1.30,BA.5.1.23,BA.5.1.34,BA.5.1.12,BA.5.9,BA.5.1.3,BA.5.1.2,BA.5.1.17,BA.5.1.24,BA.5.1.14,BA.5.1.22,BA.5.3.3,BA.5.6,BA.5.11,BA.5.3.4,BA.5.3.2,BA.5.1,BA.5.5,BA.5.3,BA.5,XC,B.1.1.263,B.1.1.45,B.1.529,B.1.417,BF.14,BQ.1.5,BQ.1.1.15,DM.1,DE.2,BA.5.5.3,XAZ,BA.5.1.11,XAS,BA.5.1.9,BF.1,B.1.526,B.1.1.161,B.1.536,A.2.3,B.1.1.342,A.2.2,A.2.4,A.24,A.25,A.12,A.2,B.4.7,A.9,A.7,B.6.8,A.22,A.11,B.4.2,B.6.1,B.6.3,B.60,A.16,B.4.5,B.4.6,B.30,B.40,B.31,A.5,B.3.1,B.29,B.41,B.61,B.28,B.43,B.53,A,B.3,B.45,B.4,B.42,B.44,B.46,B.10,B.57,B.52,B.56,B.26,B.1.14,B.50,B.47,B.6,B.19,B.27,B.20,B.15,B,XAG,XG,XQ,XU,XAM,XL,XR,DW.1,BE.1.1,BE.1.2,BE.1.2.1,BA.4.6.2,XBT,BA.2.23,BA.2.23.1,BA.2.15,XAH,XAP,XAD,BA.2.87,XBZ,XV,XK,XM,B.1.1.525,BA.1.23,BA.1.1.18,BA.1.1.14,BA.1.1.13,BA.1.1.11,BA.1.1.12,BA.1.1.8,BA.1.1.15,XF,BA.1,BA.1.7,BA.1.5,BA.1.6,BA.1.1.2,BA.1.1.17,BA.1.21,BA.1.14,BA.1.13,BA.1.17,BA.1.18,BA.1.12,BA.1.1,BA.1.9,BA.1.21.1,BA.1.14.2,BA.1.17.2,BA.1.2,BA.1.1.16,BA.1.1.7,XP,BC.1,BC.2,BA.1.1.1,BA.5.10.1,BA.5.10,XAF,XZ,XT,XAA,XAT,BA.2,XW,BQ.1.1.54,BA.5.12,XS,XAB,XE,A.3,A.26,B.4.4,B.6.4,B.6.6,A.1,B.6.2,B.6.5,B.18,B.51,B.11,B.5,B.12,B.55,BA.1.1.9,BA.1.1.10,BA.1.1.4,BA.1.1.6,BA.1.20,BA.1.10,BA.1.14.1,BA.1.16,BA.1.13.1,XH,C.23,AY.113,XAL,BA.2.19,BA.2.16,BA.1.3,BA.1.22,XAQ,XY,AP.1,XAE,others,sample_name,tool_name
23,,0.77,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,freyja_v2.0.0-23,freyja_v2.0.0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,freyja_v2.0.0-25,freyja_v2.0.0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,freyja_v2.0.0-27,freyja_v2.0.0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,freyja_v2.0.0-29,freyja_v2.0.0
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,freyja_v2.0.0-31,freyja_v2.0.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v2.0.0-34,freyja_v2.0.0
36,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,freyja_v2.0.0-36,freyja_v2.0.0
38,0.54,0.42,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-38,freyja_v2.0.0
40,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-40,freyja_v2.0.0
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-42,freyja_v2.0.0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,freyja_v2.0.0-45,freyja_v2.0.0
47,,,,,,,,0.01,,,0.01,,,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.03,,,,0.01,0.01,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,freyja_v2.0.0-47,freyja_v2.0.0
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,freyja_v2.0.0-49,freyja_v2.0.0
51,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,freyja_v2.0.0-51,freyja_v2.0.0
