timepoint,B.1.1.7,B.1.351,P.1,others,sample_name,tool_name
1,0.97,,,0.03,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
16,0.97,,,0.03,vaquero_v24d9211_oldref-16,vaquero_v24d9211_oldref
31,0.96,,,0.04,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
46,0.97,,,0.03,vaquero_v24d9211_oldref-46,vaquero_v24d9211_oldref
61,0.97,,,0.03,vaquero_v24d9211_oldref-61,vaquero_v24d9211_oldref
77,0.96,,,0.04,vaquero_v24d9211_oldref-77,vaquero_v24d9211_oldref
92,0.81,0.16,,0.03,vaquero_v24d9211_oldref-92,vaquero_v24d9211_oldref
107,0.2,0.78,,0.03,vaquero_v24d9211_oldref-107,vaquero_v24d9211_oldref
122,,0.96,,0.04,vaquero_v24d9211_oldref-122,vaquero_v24d9211_oldref
137,,0.97,,0.03,vaquero_v24d9211_oldref-137,vaquero_v24d9211_oldref
153,,0.97,,0.03,vaquero_v24d9211_oldref-153,vaquero_v24d9211_oldref
168,,0.96,,0.04,vaquero_v24d9211_oldref-168,vaquero_v24d9211_oldref
183,,0.93,,0.07,vaquero_v24d9211_oldref-183,vaquero_v24d9211_oldref
198,,0.49,0.47,0.04,vaquero_v24d9211_oldref-198,vaquero_v24d9211_oldref
213,,,0.93,0.07,vaquero_v24d9211_oldref-213,vaquero_v24d9211_oldref
229,,,0.97,0.03,vaquero_v24d9211_oldref-229,vaquero_v24d9211_oldref
244,,,0.97,0.03,vaquero_v24d9211_oldref-244,vaquero_v24d9211_oldref
259,,,0.97,0.03,vaquero_v24d9211_oldref-259,vaquero_v24d9211_oldref
274,,,0.97,0.03,vaquero_v24d9211_oldref-274,vaquero_v24d9211_oldref
289,,,0.88,0.12,vaquero_v24d9211_oldref-289,vaquero_v24d9211_oldref
305,,,0.31,0.69,vaquero_v24d9211_oldref-305,vaquero_v24d9211_oldref
