timepoint,BA.5,BA.5.1,BA.5.1.10,BA.5.2,BA.5.2.1,BA.5.9,BE.1.1,BF.11.3,BF.14,BF.5,BF.7,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3,BN.1.3.1,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17,BA.1.17.2,BA.1.18,BA.2,BA.1.20,BA.1.1.1,BA.2.3,BA.2.9,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5.1.22,BA.5.5,BE.1,BE.1.4,BF.1,BF.12,BA.5.3,BA.2.3.20,BA.5.2.20,BF.11,BF.7.9,BN.1.3.3,BA.2.75.1,BA.5.1.23,BA.5.1.5,BE.1.1.2,BN.2,BA.4.6,BA.5.2.26,BA.5.2.3,BA.2.75.5,BA.5.1.3,BA.5.2.27,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BR.3,CM.5,B.1.1.529,BA.1.15,BA.2.75.2,BA.5.1.30,BA.4.1.2,BA.5.1.2,BM.1.1,BQ.1.1.23,BA.2.13,BA.2.36,XBB.2,BF.7.19,BQ.1.1.7,BQ.1.10,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,0.19,0.16,0.09,0.11,0.16,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex21_01_realTimecourse_simul-1,2021-12-29,1507.096077316657,3915.475541220725,36.765541918871016,59.9996
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.22,0.22,,0.08,0.03,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex21_01_realTimecourse_simul-3,2022-01-12,1498.5025917132061,4777.950965191651,36.835768986389326,59.9998
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,0.17,0.01,0.03,,0.5,,0.02,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex21_01_realTimecourse_simul-5,2022-01-26,1502.3254188542955,4798.259792675095,32.87295589071331,59.9998
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.03,,0.52,,0.02,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,simul-7,simulation,Ex21_01_realTimecourse_simul-7,2022-02-09,1506.3641775072736,3953.713857105181,36.49132194094238,60
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.01,0.06,0.02,0.29,,0.05,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,simul-9,simulation,Ex21_01_realTimecourse_simul-9,2022-02-23,1498.0268534929605,4958.801702404747,41.11293181286159,59.9999
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.19,,,,0.4,,0.02,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,simul-12,simulation,Ex21_01_realTimecourse_simul-12,2022-03-16,1497.4766076982244,4188.006355655869,41.52426177975454,60
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,0.64,,0.01,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex21_01_realTimecourse_simul-14,2022-03-30,1503.3570544761394,4697.9323582476545,40.500953081630605,60
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.67,,0.01,0.03,0.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex21_01_realTimecourse_simul-16,2022-04-13,1500.8700130421696,3999.0038080690456,40.842055981005245,59.9999
18,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.64,,,0.01,0.22,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,simul-18,simulation,Ex21_01_realTimecourse_simul-18,2022-04-27,1496.562117513293,3659.41180607612,37.65842892017523,60
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,0.03,0.19,0.11,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,simul-20,simulation,Ex21_01_realTimecourse_simul-20,2022-05-11,1500.655920810621,5116.633490985763,35.22723472561282,59.9998
23,,0.07,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,0.14,0.15,0.03,0.02,,0.01,,0.01,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,simul-23,simulation,Ex21_01_realTimecourse_simul-23,2022-06-01,1449.8309199745845,4663.851918057509,44.67110323378925,59.9999
25,0.03,0.17,,0.05,0.05,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.06,0.04,0.05,0.04,0.04,0.03,,0.02,0.02,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-25,simulation,Ex21_01_realTimecourse_simul-25,2022-06-15,1501.1933585259005,4279.255709731422,38.72186737116677,59.9999
27,0.11,0.23,,0.06,0.08,,0.13,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.06,0.03,0.02,0.02,0.01,0.02,0.04,0.01,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-27,simulation,Ex21_01_realTimecourse_simul-27,2022-06-29,1495.7806574591177,4441.031126167903,37.875798414874765,59.9999
29,0.28,0.17,,0.07,0.08,,0.09,,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.04,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,simul-29,simulation,Ex21_01_realTimecourse_simul-29,2022-07-13,1500.8691770056516,3854.1065262112656,43.035815804434336,59.9999
31,0.03,0.22,,0.13,0.13,,0.1,,0.14,0.02,0.02,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,0.02,,,,0.06,,,,0.01,,,,0.01,0.01,,0.02,,,,,,,,,,0.02,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,simul-31,simulation,Ex21_01_realTimecourse_simul-31,2022-07-27,1501.0904925927164,4321.010232678451,32.96324783466542,59.9999
34,0.07,0.2,,0.19,0.14,,0.08,,0.12,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,0.02,,,,,,0.01,,,,0.02,0.01,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex21_01_realTimecourse_simul-34,2022-08-17,1505.5999732468315,3768.8703651809465,42.48737584857707,59.9994
36,0.02,0.19,,0.26,0.17,,0.06,,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,0.02,,,,,,,0.02,,0.01,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex21_01_realTimecourse_simul-36,2022-08-31,1499.658696451861,4310.77901060092,44.487175199812725,60
38,0.02,0.18,,0.26,0.1,0.03,0.05,,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,0.02,,,,0.02,0.01,,0.01,,0.02,0.02,0.01,,,0.01,,,,,,,,,,,,,0.01,0.02,,,,,,,,simul-38,simulation,Ex21_01_realTimecourse_simul-38,2022-09-14,1499.1598167407953,5082.83627494147,34.31428284787479,60
40,0.01,0.17,,0.21,0.1,0.02,0.02,,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.07,0.02,,,,,,0.01,,,0.01,,,0.07,,,0.01,0.01,,0.02,0.04,0.01,,,,0.04,0.02,,,,,,,,,,,simul-40,simulation,Ex21_01_realTimecourse_simul-40,2022-09-28,1491.1186168611846,3994.7745416433077,32.37802227201284,59.9999
42,0.02,0.09,,0.2,0.09,0.03,0.04,,0.06,0.02,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.02,,,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.08,0.01,0.01,,,,,,,,,,,,,,,simul-42,simulation,Ex21_01_realTimecourse_simul-42,2022-10-12,1494.3711667725647,6657.971321614226,26.86686954486172,59.9999
45,,0.11,,0.14,0.08,0.04,,,0.09,0.03,0.1,,,,,0.02,,0.03,0.02,0.03,0.05,,,,,,0.02,0.02,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.01,,0.01,,,0.01,,,0.01,,,,,0.02,,0.02,,,0.02,,,,,,,,,,,,,0.01,,,,simul-45,simulation,Ex21_01_realTimecourse_simul-45,2022-11-02,1503.9272313814668,5270.1286359186415,36.79563923352172,60
47,0.03,0.04,,0.14,0.06,0.08,,,0.03,,0.06,,,,0.02,0.02,0.04,0.04,0.04,0.07,0.06,,,,,,,0.02,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex21_01_realTimecourse_simul-47,2022-11-16,1449.85523191653,3591.903897582389,38.768685416178975,60
49,0.02,0.02,0.01,0.12,0.01,0.01,0.01,0.02,0.06,0.01,0.11,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.07,0.18,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-49,simulation,Ex21_01_realTimecourse_simul-49,2022-11-30,1503.9309768250678,5432.086372369616,29.438517874460757,59.9999
51,0.03,0.02,,0.05,,0.01,,0.02,0.05,,0.11,,,0.02,0.02,0.01,0.02,0.01,,0.04,0.27,0.02,0.02,0.02,,,0.02,0.05,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.04,simul-51,simulation,Ex21_01_realTimecourse_simul-51,2022-12-14,1506.4234357756748,3391.8788363305384,39.828779721098215,59.9995
