timepoint,XBB.1.5.43,XBB.2.3.3,XBB.1.30,XBB.2.3.11,BA.2.23,B,XBB.2.3,XBB.1.16.3,B.26,FU.1,FU.2,XBB.1.16.1,B.6,B.11,XBB.1.9.5,XBB.1.9,XBB.2.8,XBB.2,XBB.1,XBB,XBB.1.6,XBB.1.18,XBB.1.16.5,XBB.2.4,XBB.1.38,XBB.2.3.2,XBB.2.3.10,B.1.14,XBB.1.9.4,XBB.1.11,others,sample_name,tool_name
1,,,,,,0.02,,,,,,,,,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-1,freyja_v1.4.3
16,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,,,0.01,,,,,,,,0.02,,0.96,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,,0.02,,,,,,,,,,0.48,,,,,,,,,,,,,0.48,,0.02,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,,0.02,,,,,,,0.02,,0.48,0.48,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,,,,,,,,,,,0.02,,,,,,0.96,,,,,,,,,,,0.02,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,,,,,,,,,,0.02,,0.81,,,,,0.08,0.08,,,,,,,,,0.02,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,,,0.03,,,,,,,,,0.1,0.1,,,,,,,,0.77,,,,,,,0.0,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,,,0.02,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,,,,0.91,,,,,,,0.02,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,0.02,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,0.04,freyja_v1.4.3-153,freyja_v1.4.3
168,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,,,,,,,,,,,0.03,freyja_v1.4.3-168,freyja_v1.4.3
183,0.88,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,freyja_v1.4.3-183,freyja_v1.4.3
198,0.37,0.36,0.12,0.09,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-198,freyja_v1.4.3
213,,,,0.92,,0.02,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.01,freyja_v1.4.3-213,freyja_v1.4.3
229,,0.48,,0.48,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-229,freyja_v1.4.3
244,,0.49,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,0.49,,,,,0.0,freyja_v1.4.3-244,freyja_v1.4.3
259,,,,0.97,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.0,freyja_v1.4.3-259,freyja_v1.4.3
274,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,0.03,freyja_v1.4.3-274,freyja_v1.4.3
289,,0.85,,,,0.02,0.02,,,,,,,,,,,,,,,,0.09,,,,,,,,0.01,freyja_v1.4.3-289,freyja_v1.4.3
305,,0.27,,,,0.02,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-305,freyja_v1.4.3
320,,,,,,,,0.24,,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-320,freyja_v1.4.3
335,,,,,,0.01,,0.97,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-335,freyja_v1.4.3
350,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-350,freyja_v1.4.3
366,,,,,,0.03,,0.97,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-366,freyja_v1.4.3
