timepoint,XBB,XBB.1,XBB.1.16,XBB.1.9,XBB.1.9.2,others,sample_name,tool_name
1,,,,0.97,,0.03,vaquero_v93e7db3-1,vaquero_v93e7db3
16,,,,0.98,,0.02,vaquero_v93e7db3-16,vaquero_v93e7db3
31,,,,0.97,,0.03,vaquero_v93e7db3-31,vaquero_v93e7db3
61,,,,0.97,,0.03,vaquero_v93e7db3-61,vaquero_v93e7db3
92,,0.16,,0.81,,0.03,vaquero_v93e7db3-92,vaquero_v93e7db3
107,,,,0.97,,0.03,vaquero_v93e7db3-107,vaquero_v93e7db3
122,0.49,0.49,,,,0.03,vaquero_v93e7db3-122,vaquero_v93e7db3
137,0.49,0.49,,,,0.03,vaquero_v93e7db3-137,vaquero_v93e7db3
168,0.48,0.48,,,,0.03,vaquero_v93e7db3-168,vaquero_v93e7db3
183,0.19,0.16,,0.16,0.48,0.0,vaquero_v93e7db3-183,vaquero_v93e7db3
213,0.49,0.49,,,,0.03,vaquero_v93e7db3-213,vaquero_v93e7db3
259,0.49,0.49,,,,0.03,vaquero_v93e7db3-259,vaquero_v93e7db3
274,,0.97,,,,0.03,vaquero_v93e7db3-274,vaquero_v93e7db3
289,,0.97,,,,0.03,vaquero_v93e7db3-289,vaquero_v93e7db3
305,,0.61,0.39,,,0.0,vaquero_v93e7db3-305,vaquero_v93e7db3
320,,,0.97,,,0.03,vaquero_v93e7db3-320,vaquero_v93e7db3
335,,0.5,0.5,,,0.0,vaquero_v93e7db3-335,vaquero_v93e7db3
366,,,0.97,,,0.03,vaquero_v93e7db3-366,vaquero_v93e7db3
