timepoint,XBB,XBB.1,XBB.1.16,XBB.1.9,XBB.1.9.2,others,sample_name,tool_name
16,,0.02,,0.96,,0.03,vaquero_v93e7db3-16,vaquero_v93e7db3
31,,,,0.97,,0.03,vaquero_v93e7db3-31,vaquero_v93e7db3
77,,0.03,,0.95,,0.02,vaquero_v93e7db3-77,vaquero_v93e7db3
92,0.09,0.09,,0.7,0.11,0.0,vaquero_v93e7db3-92,vaquero_v93e7db3
122,,0.09,,0.09,0.78,0.04,vaquero_v93e7db3-122,vaquero_v93e7db3
137,0.15,0.18,,0.18,0.48,0.0,vaquero_v93e7db3-137,vaquero_v93e7db3
153,0.49,0.49,,,,0.03,vaquero_v93e7db3-153,vaquero_v93e7db3
183,0.48,0.48,,,,0.03,vaquero_v93e7db3-183,vaquero_v93e7db3
198,,,,,0.97,0.03,vaquero_v93e7db3-198,vaquero_v93e7db3
244,,,,,0.97,0.03,vaquero_v93e7db3-244,vaquero_v93e7db3
289,0.49,0.49,,,,0.03,vaquero_v93e7db3-289,vaquero_v93e7db3
305,,0.54,0.46,,,0.0,vaquero_v93e7db3-305,vaquero_v93e7db3
320,,0.5,0.5,,,0.0,vaquero_v93e7db3-320,vaquero_v93e7db3
335,,,,0.96,,0.04,vaquero_v93e7db3-335,vaquero_v93e7db3
350,,0.5,0.5,,,0.0,vaquero_v93e7db3-350,vaquero_v93e7db3
366,0.25,0.25,0.5,,,0.0,vaquero_v93e7db3-366,vaquero_v93e7db3
