timepoint,BA.1.1,BA.2.27,BA.2.4,BA.2.9,BA.1.1.1,BA.1.17.2,BA.1,BA.2.23,BA.1.17,BA.1.18,B.1.395,B.1.76,B.1,B.1.1.529,XAP,XAR,BA.2.11,BA.2.12,BA.5.1,BA.5,BA.5.2.1,BA.2.57,BE.1.1,BA.4.8,BE.1,BA.5.2,BF.14,BF.6,BF.39,BA.5.1.28,BF.32,BF.5,BE.1.1.2,BA.5.3.1,BQ.1,BQ.1.14,BA.2.75.1,B.1.617.2,BA.2.3,AY.43,AY.46.6,B.4,XQ,BA.5.1.3,BA.2.3.20,BY.1.1,BF.4,BN.1,BA.2.75.5,BF.7,BF.7.1,BA.5.9,CB.1,BA.5.2.6,XAS,BA.5.2.20,BA.2.75.4,BA.5.2.54,BA.5.2.26,BF.7.24,BA.2,BA.1.13,AY.112,AY.126,AY.106,AY.111,AY.127,AY.79,BA.5.1.5,BF.12,BA.5.11,B.1.215,B.1.134,B.1.378,BN.1.3.3,BN.1.3.1,BF.7.23,BQ.1.1.25,BQ.1.24,XBB.2,XBB,XBB.2.7,XBB.1,BN.1.3,XBP,BF.7.9,CT.1,BA.5.1.11,XBU,BF.11,BF.18,BF.7.6,BN.4,BQ.1.22,BQ.1.1.44,BQ.1.1.45,BQ.1.1,BQ.1.1.31,BA.5.1.14,BA.5.2.27,BA.4,BA.5.3,BA.5.1.23,BA.2.3.16,B.1.128,XAH,BA.1.1.7,BA.1.1.11,BA.3,XAU,BA.5.5,BF.1,BE.1.4,BA.2.56,BA.2.38,BA.2.73,BQ.1.10,CH.1.1.3,CH.1.1,BF.7.4,BQ.1.5,BQ.1.1.3,BF.7.5,BQ.1.1.7,BQ.1.1.18,BA.5.1.33,BQ.1.20,BA.2.16,BF.30,CM.5,BA.5.2.9,XBJ,BA.5.2.52,B.1.535,B.1.383,BQ.1.1.34,BA.5.2.36,BQ.1.1.46,BA.2.26,BA.2.12.1,BA.5.1.22,BA.4.1,BA.4.1.9,BA.2.24,BQ.1.1.37,BQ.1.1.76,BQ.1.3.2,XBT,BE.1.1.1,BA.2.87,BA.2.9.2,BA.4.1.2,others,sample_name,tool_name
23,,,,,,,,,,,,,,,,,0.65,0.12,0.08,0.03,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-23,freyja_v1.5.3
25,,,,0.06,,,,0.02,,,,,,,,,,,0.09,0.08,0.02,,0.16,,,0.04,,,,,,,,,,,,,0.01,,,,,0.09,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.04,0.03,0.02,0.02,0.01,,,,,,,,,0.03,freyja_v1.5.3-25,freyja_v1.5.3
27,,,,,,,,,,,,,,,,0.05,,,0.24,0.05,0.03,,0.13,,0.06,0.06,0.05,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,0.03,freyja_v1.5.3-27,freyja_v1.5.3
29,,,,,,,,0.05,,,,,,,,,,,0.09,0.15,0.06,,0.09,,0.02,0.06,0.07,,,,,,,,,,,,,,,,,0.09,,,0.06,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.01,,,,,,,,0.15,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-29,freyja_v1.5.3
31,0.02,,,,,,,0.07,,,,,,,,,,,0.2,0.04,0.05,,0.1,0.01,0.01,0.13,0.11,0.05,0.05,0.04,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-31,freyja_v1.5.3
34,,,,,,,,,,,,,,,,,,,0.11,0.08,0.08,,0.1,,0.02,0.19,0.11,,,,,,,,,,0.02,,,,,,,0.11,,,0.08,,,,,,,,,0.01,,,,,,,,,,,,,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-34,freyja_v1.5.3
36,,,,,,,,0.01,,,,,,,,,,,0.21,,0.17,,0.06,,,0.27,0.1,,,,,0.05,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-36,freyja_v1.5.3
38,,,,,,,,,,,,,,,,,,,0.07,,0.03,,0.07,,,0.26,0.12,0.03,0.03,0.01,,,,,,,0.01,,,,,,,0.07,,,0.03,,,0.01,0.01,0.03,,,,0.02,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-38,freyja_v1.5.3
40,,,,,,,,0.02,,,,,,,,,,,0.09,0.01,0.05,,0.02,0.01,,0.2,0.03,,,,,0.04,,,,,,,,,,,,0.09,0.07,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-40,freyja_v1.5.3
42,,,,,,,,,,,,,,,,,,,0.08,0.02,0.03,,0.03,0.03,,0.19,0.06,,,0.02,,0.02,,,,,0.02,,,,,,,,0.13,,,0.09,0.03,0.05,,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.5.3-42,freyja_v1.5.3
45,,,,,,,,,,,,,0.01,,,,,,0.06,,0.06,,,0.01,,0.13,0.08,,,,,0.03,,,0.03,0.03,,,,,,,0.01,0.06,,,0.06,,,0.04,0.04,0.05,,,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0.02,0.06,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.01,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-45,freyja_v1.5.3
47,,,,,,,,,,,,,,,,,,,,0.05,0.01,,,,,0.13,0.03,,,,0.02,,,,0.02,0.02,,,,,,,,,,,0.01,,,0.03,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.5.3-47,freyja_v1.5.3
49,,,,,,,,,,,,,,,,,,,0.01,,0.02,,0.02,,,0.11,0.05,,,,,,,,0.1,,,,,,,,,0.01,,,0.02,,,0.07,0.07,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.03,,0.02,0.02,,0.02,0.02,,,,,0.02,0.02,,,,,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.03,,0.03,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.01,0.01,,,,0.04,freyja_v1.5.3-49,freyja_v1.5.3
51,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.05,,,,0.01,,,,0.01,0.01,,,,,,,,,0.01,,,,,0.06,0.06,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,0.01,,,,,0.05,0.02,,,,0.28,,,,,,,,0.02,,,,,,,,,,,,,,,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-51,freyja_v1.5.3
