timepoint,EG.5,EG.5.1,XBB,XBB.1,XBB.1.16,XBB.1.9,XBB.1.9.2,others,sample_name,tool_name
1,,,,,,0.97,,0.03,vaquero_v93e7db3-1,vaquero_v93e7db3
16,,,,,,0.97,,0.03,vaquero_v93e7db3-16,vaquero_v93e7db3
31,,,,,,0.97,,0.03,vaquero_v93e7db3-31,vaquero_v93e7db3
46,,,,,,0.97,,0.03,vaquero_v93e7db3-46,vaquero_v93e7db3
61,,,,,,0.97,,0.03,vaquero_v93e7db3-61,vaquero_v93e7db3
77,,,,,,0.96,,0.04,vaquero_v93e7db3-77,vaquero_v93e7db3
92,,,,0.16,,0.65,0.16,0.04,vaquero_v93e7db3-92,vaquero_v93e7db3
107,,,0.32,0.32,,,0.34,0.03,vaquero_v93e7db3-107,vaquero_v93e7db3
122,,,0.02,,,,0.94,0.04,vaquero_v93e7db3-122,vaquero_v93e7db3
137,,,,,,,0.96,0.04,vaquero_v93e7db3-137,vaquero_v93e7db3
153,,,0.24,0.13,,0.13,0.49,0.0,vaquero_v93e7db3-153,vaquero_v93e7db3
168,,,0.17,0.17,,0.17,0.5,0.0,vaquero_v93e7db3-168,vaquero_v93e7db3
183,0.38,0.38,0.06,0.05,,0.05,0.07,0.01,vaquero_v93e7db3-183,vaquero_v93e7db3
198,,,0.49,0.49,,,,0.03,vaquero_v93e7db3-198,vaquero_v93e7db3
213,,,0.17,0.17,,0.17,0.49,0.0,vaquero_v93e7db3-213,vaquero_v93e7db3
244,,,,0.97,,,,0.03,vaquero_v93e7db3-244,vaquero_v93e7db3
259,,,0.17,0.17,,0.17,0.5,0.0,vaquero_v93e7db3-259,vaquero_v93e7db3
289,,,0.43,,,,0.54,0.03,vaquero_v93e7db3-289,vaquero_v93e7db3
305,,,0.27,0.27,0.47,,,0.0,vaquero_v93e7db3-305,vaquero_v93e7db3
320,,,0.17,0.33,0.5,,,0.0,vaquero_v93e7db3-320,vaquero_v93e7db3
335,,,0.15,0.3,0.56,,,0.0,vaquero_v93e7db3-335,vaquero_v93e7db3
350,,,0.24,0.25,0.51,,,0.0,vaquero_v93e7db3-350,vaquero_v93e7db3
366,,,,,0.97,,,0.03,vaquero_v93e7db3-366,vaquero_v93e7db3
