timepoint,B.61,B.1.1.170,AY.82,P.1.12.1,AY.75.2,B.1.1.317,AY.23.2,B.1.177.29,B.1.36.22,AY.4.14,B.1.1.431,B.1.630,BF.23,AY.110,AY.24,P.1.15,AY.94,AY.127.1,AY.43.3,AY.71,AY.68,AY.70,P.1.17,AY.48,P.1.17.1,AY.131,AY.134,AY.9.2.2,AY.25,AY.46.5,AY.44,AY.4,AY.4.1,AY.62,AY.59,AY.57,B.1.632,P.1.16,P.1.1,B.1.1.482,B.1.1.44,AT.1,B.1.1.336,BK.1,P.1.14,B.1.177.74,P.1.10,B.1.1.243,P.1.12,B.1.1.217,P.3,C.17,P.1,B.1.1,B.1.177.87,XBT,AY.2,B.1.190,P.1.2,BL.2.1,B.1.78,B.1.1.425,B.1.36.7,BA.5.6.3,BA.5.1.29,P.1.8,AY.92,AY.47,BA.2.8,BF.3.1,A.29,B.1.1.528,A.30,B.1.1.12,B.1.596,B.1.117,B.1.177.8,B.1.1.302,B.1.1.433,B.1.258.17,B.1.36.1,B.1.1.325,B.1.513,AY.84,B.1.351,B.1.177.34,B.1.1.529,AY.30,Q.7,AY.121.1,B.1.596.1,AY.11,B.1.439,B.1.525,B.1.609,B.1.1.301,B.1.1.434,B.1.1.435,Q.2,B.1.441,B.1.1.219,B.1.1.159,B.1.416.1,B.1.2,B.1.280,XBC.1.1,XBC.1.2.1,B.1.1.263,B.1.491,B.1.1.16,B.1.332,B.1.36.2,Q.8,BA.2.28,B.1.36.23,BQ.1.1.20,BN.1,B.1.36.24,B.1.1.88,B.1.637,BA.5.2,BA.5.3,Q.6,AY.75,AY.41,AY.6,BA.1.1.14,AY.32,B.1.1.253,B.1.1.432,B.1.480,B.1.1.163,P.6,B.1.177.5,A.27,B.1.218,B.1.1.7,Q.4,B.1.177.63,B.1.36.35,XBB.2.3.5,B.1.377,B.1.1.421,B.1.1.125,B.1.467,C.37,B.1.398,B.1.640.2,B.1.406,AY.9,BN.1.3.5,CH.1.1.11,BN.1.4.3,BN.3,BM.3,W.3,BA.1.16,B.1.1.359,B.1.1.82,B.1.1.355,B.1.1.440,B.1.23,B.1.466.1,B.1.1.349,B.1.474,XBB.2.3.8,XBB.1.5.51,XBF.6,B.1.420,B.1.36.20,B.1.1.87,BF.20,B.1.1.220,B.1.177.80,BR.3,CA.3,B.1.227,BA.5.2.59,BF.4,BA.2.3.6,C.1.2,B.1.351.3,AY.66,B.1.1.347,AY.39.2,Q.1,AY.5.4,B.1.177.83,B.1.160.28,B.1.111,B.1.177.64,B.1.160.11,B.1.241,EG.5,B.1.160.18,B.1.1.394,XBM,B.1.1.31,B.1.1.178,B.1.97,B.1.1.298,B.1.1.174,B.1.1.367,BS.1.1,BA.5.6.1,C.36.1,B.28,B.49,B.1.36.8,AK.2,B.1.258.20,B.1.36.31,M.2,EG.2,B.1.248,B.1.240.1,B.1.221.3,B.1.177.48,B.1.1.95,BW.1.1.1,AY.120.1,XBC.2,BA.5.1.38,BA.5.6.4,BF.7.24,BA.2.9.7,BA.2.13.1,BA.1.18,BA.1.1.18,AY.34,AY.4.2.1,B.1.1.430,B.1.1.269,XBB.1.36,XBB.1.5.52,EP.2,B.1.1.27,BA.5.1.26,B.1.1.354,AY.39.1,AY.122.2,AY.1,AY.4.2.5,AY.25.3,B.1.9,C.4,B.1.399,B.1.1.213,B.1.1.8,BQ.1.2.1,B.1.351.5,BA.2.9.1,BA.2.16,B.1.77,B.1.582,C.23,BE.1.3,CL.1.2,BM.1.1.5,BR.1.2,BA.2.20,AY.33,B.1.617.2,B.32,FE.1.2,XBB.1.5.59,EG.1.3,CH.1.1.6,B.1.1.147,B.1.177.61,B.1.351.2,B.1.177.69,BA.1,AY.20,B.1.407,AA.5,B.1.1.51,AY.58,AY.9.2,BB.1,AY.69,B.1.1.506,B.1.1.193,B.1.1.451,AY.64,AY.99,XAY.1.2,AY.25.1,AY.120.2.1,AY.46.4,AY.124,AY.7,AY.14,B.1.1.411,EF.1.3,BA.2.10.3,BA.1.1.4,BA.1.8,AY.4.2.4,B.1.1.377,A.3,AY.42.1,AY.4.9,B.1.36.33,AY.20.1,BE.6,B.1.221.2,CM.8.1.1,XBC.1.2,XBB.2.2,B.1.428,B.1.151,B.1.1.61,C.19,B.1.1.209,B.1.503,DM.1,BQ.1.16,B.1.258.15,B.1.320,B.1.1.30,B.1.242,BA.3,B.1.1.380,P.1.7,B.1.400,B.1.214.3,BR.5,AY.103,B.59,BA.5.2.10,B.1.39,B.1.617.3,B.1.1.129,others,sample_name,tool_name
1,,,,,,,,,0.03,,0.03,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.03,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,0.02,,,,0.35,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,vlq_vd04ad36-107,vlq_vd04ad36
122,,0.01,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,0.02,,0.02,,,,,0.03,,,,,0.02,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.03,,,,,,,,,0.21,,,,,,,,,,,0.02,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,0.02,,0.02,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,0.01,0.32,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,0.03,,0.02,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.03,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,0.01,0.02,0.03,0.02,,0.01,,0.02,,0.02,,0.01,,0.03,,,0.02,,,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,0.26,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.53,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,0.01,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,,,,,0.04,,,,,,0.01,,,,,,,,,,,,,,,,0.19,0.01,,,,,,0.08,,0.02,,,,,,0.04,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,,,0.06,,,,,0.02,,,0.01,0.02,0.01,,,,,,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,0.02,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-213,vlq_vd04ad36
